,element,obs_wavelength,obs_ep,obs_ew
79,FeI,4404.75,    1.560,109.0
80,FeI,4415.12,    1.610,85.3
81,FeI,4430.61,    2.220,12.9
82,FeI,4442.34,    2.200,28.4
85,FeI,4447.72,    2.220,24.6
86,FeI,4461.65,    0.090,39.7
90,FeI,4484.22,    3.600,5.6
91,FeI,4489.74,    0.120,11.2
92,FeI,4494.56,    2.200,33.6
93,FeI,4531.15,    1.480,21.3
95,FeI,4602.94,    1.480,20.4
98,FeI,4707.27,    3.240,7.9
99,FeI,4733.59,    1.480,4.1
100,FeI,4736.77,    3.210,13.3
108,FeI,4890.76,    2.880,34.5
109,FeI,4903.31,    2.880,16.0
112,FeI,4924.77,    2.280,4.3
113,FeI,4939.69,    0.860,9.0
117,FeI,4994.13,    0.910,13.2
118,FeI,5001.86,    3.880,12.9
120,FeI,5005.71,    3.880,9.7
121,FeI,5012.07,    0.860,31.6
122,FeI,5014.94,    3.940,8.5
125,FeI,5041.07,    0.960,11.8
128,FeI,5049.82,    2.280,21.3
129,FeI,5051.64,    0.910,22.1
131,FeI,5079.22,    2.200,7.0
132,FeI,5083.34,    0.960,15.0
134,FeI,5110.41,    0.000,24.0
135,FeI,5123.72,    1.010,10.9
136,FeI,5127.36,    0.910,8.8
138,FeI,5133.69,    4.170,14.4
139,FeI,5142.93,    0.960,10.6
141,FeI,5150.84,    0.990,9.5
142,FeI,5151.91,    1.010,6.0
143,FeI,5166.28,    0.000,10.8
144,FeI,5194.94,    1.560,24.2
145,FeI,5198.71,    2.220,5.5
146,FeI,5202.34,    2.170,12.0
147,FeI,5215.18,    3.260,8.1
148,FeI,5216.27,    1.610,19.4
149,FeI,5217.39,    3.210,5.6
151,FeI,5227.19,    1.560,64.8
154,FeI,5250.65,    2.200,6.5
157,FeI,5263.31,    3.260,7.1
158,FeI,5269.54,    0.860,94.2
160,FeI,5283.62,    3.240,20.0
162,FeI,5302.3,    3.280,9.9
165,FeI,5324.18,    3.210,33.1
166,FeI,5328.04,    0.910,85.5
167,FeI,5328.53,    1.560,32.6
168,FeI,5332.9,    1.560,4.7
169,FeI,5339.93,    3.260,12.0
170,FeI,5341.02,    1.610,29.0
172,FeI,5371.49,    0.960,78.6
173,FeI,5393.17,    3.240,11.3
174,FeI,5397.13,    0.910,62.7
175,FeI,5405.77,    0.990,65.6
176,FeI,5429.7,    0.960,66.9
177,FeI,5434.52,    1.010,51.7
179,FeI,5476.56,    4.100,4.0
180,FeI,5497.52,    1.010,16.6
181,FeI,5501.47,    0.960,14.2
182,FeI,5506.78,    0.990,20.2
188,FeI,5615.64,    3.330,33.8
189,FeI,5624.54,    3.410,7.3
222,FeII,4491.41,    2.850,7.0
223,FeII,4515.34,    2.840,11.7
224,FeII,4555.89,    2.830,14.7
225,FeII,4576.34,    2.840,4.8
226,FeII,4582.84,    2.840,2.4
227,FeII,4583.84,    2.810,38.1
228,FeII,4923.93,    2.890,57.5
229,FeII,5197.58,    3.230,10.8
231,FeII,5276.0,    3.200,16.1
