,obs_wavelength,element,obs_ew,obs_ep
0,4602.0,FeI,11.9,1.61
1,4619.287,FeI,19.7,3.6
2,4630.12,FeI,11.6,2.28
3,4637.503,FeI,20.4,3.28
4,4647.434,FeI,31.8,2.95
5,4733.591,FeI,22.8,1.49
6,4882.144,FeI,9.5,3.42
7,4924.77,FeI,25.1,2.28
8,5022.236,FeI,27.7,3.98
9,5028.127,FeI,17.4,3.57
10,5044.212,FeI,12.7,2.85
11,5079.224,FeI,33.4,2.2
12,5079.74,FeI,34.6,0.99
13,5198.711,FeI,28.7,2.22
14,5215.182,FeI,36.8,3.27
15,5217.39,FeI,32.2,3.21
16,5242.491,FeI,22.0,3.63
17,5250.646,FeI,36.0,2.2
18,5263.305,FeI,35.9,3.27
19,5307.361,FeI,20.6,1.61
20,5332.9,FeI,24.9,1.56
21,4508.289,FeII,45.0,2.86
22,4515.339,FeII,37.4,2.84
23,4522.634,FeII,58.1,2.84
24,4576.339,FeII,20.0,2.84
25,4583.837,FeII,68.1,2.81
26,5197.576,FeII,36.8,3.23
27,5234.63,FeII,39.6,3.22
28,5276.002,FeII,49.9,3.2
29,5325.56,FeII,9.7,3.22
