,obs_wavelength,element,obs_ew,obs_ep
0,4494.563,FeI,12.6,2.2
1,4531.148,FeI,8.4,1.48
2,4602.941,FeI,5.0,1.49
3,4871.318,FeI,16.8,2.87
4,4872.137,FeI,12.4,2.88
5,4890.75,FeI,15.5,2.88
6,4891.49,FeI,24.9,2.85
7,4920.503,FeI,49.4,2.83
8,5006.119,FeI,10.6,2.83
9,5171.596,FeI,13.3,1.49
10,5192.344,FeI,11.0,3.0
11,5232.94,FeI,22.4,2.94
12,5397.128,FeI,27.6,0.92
13,5405.775,FeI,27.2,0.99
14,5429.696,FeI,29.3,0.96
15,5434.524,FeI,18.5,1.01
16,5586.756,FeI,11.3,3.37
17,4508.289,FeII,8.9,2.86
18,4522.634,FeII,9.3,2.84
19,4583.837,FeII,18.8,2.81
