,obs_wavelength,element,obs_ew,obs_ep
0,4494.563,FeI,56.6,2.2
1,4531.148,FeI,33.3,1.48
2,4592.651,FeI,19.3,1.56
3,4602.941,FeI,26.6,1.49
4,4619.287,FeI,8.3,3.6
5,4637.503,FeI,10.2,3.28
6,4647.434,FeI,19.2,2.95
7,4736.773,FeI,30.7,3.21
8,4871.318,FeI,57.3,2.87
9,4872.137,FeI,45.4,2.88
10,4918.994,FeI,57.4,2.86
11,4924.77,FeI,13.9,2.28
12,4985.547,FeI,19.5,2.87
13,4994.13,FeI,19.7,0.92
14,5001.862,FeI,33.3,3.88
15,5022.236,FeI,12.1,3.98
16,5049.819,FeI,39.7,2.28
17,5051.635,FeI,36.4,0.92
18,5068.766,FeI,24.8,2.94
19,5079.224,FeI,8.2,2.2
20,5079.74,FeI,12.4,0.99
21,5083.339,FeI,25.9,0.96
22,5123.72,FeI,16.3,1.01
23,5150.84,FeI,15.1,0.99
24,5171.596,FeI,57.1,1.49
25,5192.344,FeI,39.3,3.0
26,5194.942,FeI,41.0,1.56
27,5198.711,FeI,11.1,2.22
28,5202.336,FeI,14.5,2.18
29,5215.182,FeI,17.5,3.27
30,5216.274,FeI,41.1,1.61
31,5217.39,FeI,8.6,3.21
32,5232.94,FeI,69.0,2.94
33,5242.491,FeI,5.4,3.63
34,5250.646,FeI,9.7,2.2
35,5263.305,FeI,18.2,3.27
36,5307.361,FeI,5.3,1.61
37,5332.9,FeI,8.3,1.56
38,5339.93,FeI,26.7,3.27
39,5341.024,FeI,39.2,1.61
40,5397.128,FeI,68.0,0.92
41,5405.775,FeI,79.1,0.99
42,5429.696,FeI,80.3,0.96
43,5434.524,FeI,61.0,1.01
44,5497.516,FeI,27.0,1.01
45,5501.465,FeI,20.8,0.96
46,5506.779,FeI,27.6,0.99
47,5569.618,FeI,30.4,3.42
48,5576.09,FeI,7.5,3.43
49,5586.756,FeI,50.3,3.37
50,4508.289,FeII,36.1,2.86
51,4515.339,FeII,26.1,2.84
52,4522.634,FeII,41.2,2.84
53,4576.339,FeII,10.6,2.84
54,4583.837,FeII,50.4,2.81
55,5197.576,FeII,22.1,3.23
56,5234.63,FeII,30.1,3.22
57,5276.002,FeII,33.7,3.2
