,obs_wavelength,element,obs_ew,obs_ep
0,4494.563,FeI,46.6,2.2
1,4531.148,FeI,34.4,1.48
2,4592.651,FeI,21.1,1.56
3,4602.941,FeI,33.8,1.49
4,4630.12,FeI,5.1,2.28
5,4637.503,FeI,5.2,3.28
6,4647.434,FeI,12.1,2.95
7,4733.591,FeI,8.7,1.49
8,4736.773,FeI,21.2,3.21
9,4871.318,FeI,53.8,2.87
10,4872.137,FeI,38.0,2.88
11,4918.994,FeI,51.0,2.86
12,4924.77,FeI,9.3,2.28
13,4938.814,FeI,16.7,2.88
14,4985.547,FeI,10.6,2.87
15,4994.13,FeI,23.5,0.92
16,5006.119,FeI,39.0,2.83
17,5022.236,FeI,9.1,3.98
18,5028.127,FeI,5.5,3.57
19,5049.819,FeI,33.3,2.28
20,5051.635,FeI,41.4,0.92
21,5068.766,FeI,17.4,2.94
22,5079.224,FeI,15.0,2.2
23,5079.74,FeI,13.7,0.99
24,5083.339,FeI,27.7,0.96
25,5123.72,FeI,17.8,1.01
26,5150.84,FeI,18.1,0.99
27,5171.596,FeI,58.7,1.49
28,5192.344,FeI,41.2,3.0
29,5194.942,FeI,39.8,1.56
30,5198.711,FeI,8.7,2.22
31,5202.336,FeI,21.6,2.18
32,5215.182,FeI,8.3,3.27
33,5216.274,FeI,31.5,1.61
34,5217.39,FeI,9.5,3.21
35,5232.94,FeI,60.9,2.94
36,5250.646,FeI,13.2,2.2
37,5263.305,FeI,11.9,3.27
38,5332.9,FeI,12.0,1.56
39,5339.93,FeI,20.4,3.27
40,5341.024,FeI,41.8,1.61
41,5397.128,FeI,75.8,0.92
42,5405.775,FeI,81.5,0.99
43,5429.696,FeI,81.7,0.96
44,5434.524,FeI,67.8,1.01
45,5497.516,FeI,33.7,1.01
46,5501.465,FeI,25.6,0.96
47,5506.779,FeI,35.0,0.99
48,5569.618,FeI,20.8,3.42
49,5586.756,FeI,38.5,3.37
50,4508.289,FeII,20.1,2.86
51,4515.339,FeII,15.6,2.84
52,4522.634,FeII,29.2,2.84
53,4576.339,FeII,5.2,2.84
54,4583.837,FeII,45.6,2.81
55,5197.576,FeII,16.3,3.23
56,5234.63,FeII,13.9,3.22
