,obs_wavelength,element,obs_ew,obs_ep
0,5618.642,FeI,11.6,4.21
1,5662.524,FeI,42.0,4.18
2,5701.557,FeI,40.6,2.56
3,5753.132,FeI,26.7,4.26
4,6027.059,FeI,18.0,4.07
5,6065.494,FeI,74.0,2.61
6,6151.623,FeI,10.0,2.18
7,6165.363,FeI,9.5,4.14
8,6200.321,FeI,28.5,2.61
9,6219.287,FeI,43.2,2.2
10,6229.232,FeI,8.5,2.84
11,6232.648,FeI,30.6,3.65
12,6240.653,FeI,15.5,2.22
13,6246.327,FeI,57.0,3.6
14,6252.565,FeI,69.7,2.4
15,6265.141,FeI,42.7,2.18
16,6322.694,FeI,26.9,2.59
17,6335.337,FeI,55.0,2.2
18,6336.83,FeI,49.0,3.69
19,6344.155,FeI,22.2,2.43
20,6358.687,FeI,23.6,0.86
21,6380.75,FeI,15.2,4.19
22,6393.612,FeI,77.1,2.43
23,6408.026,FeI,43.0,3.69
24,6411.658,FeI,66.0,3.65
25,6430.856,FeI,63.7,2.18
26,6481.878,FeI,15.8,2.28
27,6498.945,FeI,10.0,0.96
28,6518.373,FeI,17.0,2.83
29,6593.884,FeI,44.1,2.43
30,6609.118,FeI,24.2,2.56
31,6677.997,FeI,71.0,2.69
32,6750.164,FeI,27.6,2.42
33,6810.267,FeI,8.3,4.61
34,6855.166,FeI,17.0,4.56
35,6945.21,FeI,30.9,2.42
36,6978.862,FeI,38.6,2.48
37,7401.691,FeI,6.3,4.19
38,7418.672,FeI,8.3,4.14
39,7511.031,FeI,72.6,4.18
40,7710.367,FeI,25.0,4.22
41,5991.378,FeII,9.6,3.15
42,6149.249,FeII,10.2,3.89
43,6247.562,FeII,23.5,3.89
44,6416.928,FeII,17.1,3.89
45,6432.683,FeII,17.8,2.89
46,6456.391,FeII,41.6,3.9
