,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,42.56
1,4147.67,FeI,1.48,68.02
2,4184.89,FeI,2.83,53.14
3,4216.18,FeI,0.0,79.13
4,4430.61,FeI,2.22,56.93
5,4447.72,FeI,2.22,77.14
6,4489.74,FeI,0.12,57.23
7,4602.0,FeI,1.61,22.03
8,4602.94,FeI,1.48,71.23
9,4602.94,FeI,1.48,70.28
10,4647.43,FeI,2.95,37.35
11,4924.77,FeI,2.28,33.79
12,4938.81,FeI,2.88,56.18
13,4939.69,FeI,0.86,53.67
14,4966.09,FeI,3.33,46.88
15,4994.13,FeI,0.92,61.92
16,5014.94,FeI,3.94,42.9
17,5044.21,FeI,2.85,15.04
18,5051.64,FeI,0.92,75.51
19,5068.77,FeI,2.94,56.38
20,5083.34,FeI,0.96,65.02
21,5127.36,FeI,0.92,53.64
22,5150.84,FeI,0.99,56.37
23,5151.91,FeI,1.01,47.19
24,5194.94,FeI,1.56,74.86
25,5198.71,FeI,2.22,42.7
26,5202.34,FeI,2.18,65.04
27,5216.27,FeI,1.61,69.3
28,5217.39,FeI,3.21,40.89
29,5225.53,FeI,0.11,23.24
30,5247.05,FeI,0.09,20.71
31,5253.46,FeI,3.28,14.09
32,5263.31,FeI,3.27,47.74
33,5266.56,FeI,3.0,97.37
34,5281.79,FeI,3.04,64.5
35,5307.36,FeI,1.61,31.77
36,5322.04,FeI,2.28,9.56
37,5501.47,FeI,0.96,65.55
38,5506.78,FeI,0.99,74.62
39,5624.54,FeI,3.42,48.37
40,5662.52,FeI,4.18,20.8
41,5686.53,FeI,4.55,7.51
42,5701.55,FeI,2.56,20.5
43,5753.12,FeI,4.26,12.67
44,5775.08,FeI,4.22,5.56
45,6027.05,FeI,4.08,7.71
46,6065.48,FeI,2.61,55.7
47,6137.69,FeI,2.59,65.63
48,6151.62,FeI,2.18,5.74
49,6173.34,FeI,2.22,13.25
50,6191.56,FeI,2.43,64.64
51,6200.31,FeI,2.61,14.51
52,6219.28,FeI,2.2,31.78
53,6230.72,FeI,2.56,76.5
54,6252.56,FeI,2.4,59.34
55,6265.13,FeI,2.18,28.62
56,6301.5,FeI,3.65,36.21
57,6322.69,FeI,2.59,15.04
58,6335.33,FeI,2.2,41.23
59,6344.15,FeI,2.43,9.0
60,6355.03,FeI,2.84,10.41
61,6358.7,FeI,0.86,15.8
62,6393.6,FeI,2.43,67.6
63,6421.35,FeI,2.28,50.7
64,6430.85,FeI,2.18,57.96
65,6481.87,FeI,2.28,11.05
66,6494.98,FeI,2.4,86.59
67,6592.91,FeI,2.73,51.81
68,6677.99,FeI,2.69,63.06
69,6750.15,FeI,2.42,16.15
70,4178.862,FeII,2.58,26.8
71,4491.405,FeII,2.86,12.46
72,4508.288,FeII,2.86,25.68
73,4576.34,FeII,2.84,9.35
74,4923.927,FeII,2.89,67.61
75,5197.577,FeII,3.23,17.16
76,5234.625,FeII,3.22,21.16
