,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,53.79
1,4157.78,FeI,3.42,66.92
2,4187.04,FeI,2.45,110.24
3,4238.81,FeI,3.4,78.73
4,4375.93,FeI,0.0,118.28
5,4388.41,FeI,3.6,47.7
6,4447.72,FeI,2.22,91.42
7,4494.56,FeI,2.2,103.52
8,4602.0,FeI,1.61,27.66
9,4602.94,FeI,1.48,88.73
10,4788.76,FeI,3.24,16.24
11,4890.76,FeI,2.88,107.37
12,4891.49,FeI,2.85,118.75
13,4903.31,FeI,2.88,79.63
14,4918.99,FeI,2.87,109.25
15,4939.69,FeI,0.86,61.48
16,4966.09,FeI,3.33,60.12
17,4994.13,FeI,0.92,74.12
18,5014.94,FeI,3.94,48.7
19,5044.21,FeI,2.85,20.54
20,5049.82,FeI,2.28,90.24
21,5051.64,FeI,0.92,96.32
22,5068.77,FeI,2.94,63.54
23,5127.36,FeI,0.92,62.63
24,5150.84,FeI,0.99,71.34
25,5166.28,FeI,0.0,69.13
26,5171.6,FeI,1.48,112.42
27,5198.71,FeI,2.22,51.66
28,5202.34,FeI,2.18,81.41
29,5216.27,FeI,1.61,87.09
30,5217.39,FeI,3.21,47.36
31,5225.53,FeI,0.11,26.86
32,5263.31,FeI,3.27,54.34
33,5266.56,FeI,3.0,98.91
34,5281.79,FeI,3.04,73.42
35,5307.36,FeI,1.61,38.75
36,5322.04,FeI,2.28,13.77
37,5324.18,FeI,3.21,102.6
38,5339.93,FeI,3.27,69.91
39,5569.62,FeI,3.42,67.93
40,5586.76,FeI,3.37,93.72
41,5816.37,FeI,4.55,12.74
42,6027.05,FeI,4.08,11.85
43,6065.48,FeI,2.61,64.82
44,6137.69,FeI,2.59,72.72
45,6173.34,FeI,2.22,17.36
46,6200.31,FeI,2.61,18.82
47,6219.28,FeI,2.2,37.65
48,6230.72,FeI,2.56,82.43
49,6252.56,FeI,2.4,69.2
50,6265.13,FeI,2.18,33.66
51,6297.79,FeI,2.22,23.62
52,6301.5,FeI,3.65,57.09
53,6322.69,FeI,2.59,17.96
54,6335.33,FeI,2.2,50.55
55,6358.7,FeI,0.86,16.18
56,6393.6,FeI,2.43,74.02
57,6411.65,FeI,3.65,51.49
58,6421.35,FeI,2.28,60.36
59,6430.85,FeI,2.18,67.27
60,6494.98,FeI,2.4,90.79
61,6593.87,FeI,2.43,28.02
62,6609.11,FeI,2.56,11.42
63,6677.99,FeI,2.69,69.26
64,6750.15,FeI,2.42,21.69
65,4491.405,FeII,2.86,75.47
66,4508.288,FeII,2.86,98.13
67,4520.224,FeII,2.81,88.4
68,4541.524,FeII,2.86,60.71
69,4576.34,FeII,2.84,65.12
70,4582.835,FeII,2.84,47.25
71,4923.927,FeII,2.89,163.44
72,5197.577,FeII,3.23,84.34
73,5234.625,FeII,3.22,90.01
74,5264.812,FeII,3.23,34.74
75,5325.553,FeII,3.22,31.59
76,6084.111,FeII,3.2,11.27
77,6149.258,FeII,3.89,24.28
78,6238.392,FeII,3.89,27.49
79,6247.557,FeII,3.89,43.67
80,6416.919,FeII,3.89,21.76
81,6432.68,FeII,2.89,29.36
82,6516.08,FeII,2.89,45.16
