,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,29.97
1,4132.9,FeI,2.84,42.53
2,4147.67,FeI,1.48,66.01
3,4157.78,FeI,3.42,44.51
4,4184.89,FeI,2.83,52.25
5,4238.81,FeI,3.4,54.55
6,4375.93,FeI,0.0,102.55
7,4388.41,FeI,3.6,25.47
8,4430.61,FeI,2.22,45.31
9,4494.56,FeI,2.2,78.07
10,4602.94,FeI,1.48,62.29
11,4647.43,FeI,2.95,26.67
12,4872.14,FeI,2.88,68.96
13,4903.31,FeI,2.88,51.55
14,4918.99,FeI,2.87,82.67
15,4939.69,FeI,0.86,32.34
16,4966.09,FeI,3.33,34.6
17,4994.13,FeI,0.92,46.15
18,5051.64,FeI,0.92,66.24
19,5068.77,FeI,2.94,37.69
20,5083.34,FeI,0.96,51.42
21,5127.36,FeI,0.92,34.08
22,5150.84,FeI,0.99,40.07
23,5166.28,FeI,0.0,39.32
24,5171.6,FeI,1.48,89.33
25,5191.45,FeI,3.04,63.76
26,5216.27,FeI,1.61,58.85
27,5217.39,FeI,3.21,23.78
28,5232.94,FeI,2.94,92.31
29,5263.31,FeI,3.27,30.07
30,5266.56,FeI,3.0,72.07
31,5281.79,FeI,3.04,43.31
32,5302.3,FeI,3.28,36.91
33,5307.36,FeI,1.61,17.21
34,5324.18,FeI,3.21,74.58
35,5332.9,FeI,1.56,23.15
36,5339.93,FeI,3.27,41.92
37,5367.47,FeI,4.42,32.24
38,5369.96,FeI,4.37,42.13
39,5371.49,FeI,0.96,129.75
40,5405.77,FeI,0.99,115.71
41,5410.91,FeI,4.47,32.46
42,5415.2,FeI,4.39,47.48
43,5429.7,FeI,0.96,120.6
44,5434.52,FeI,1.01,98.92
45,5569.62,FeI,3.42,41.37
46,5572.84,FeI,3.4,54.03
47,5586.76,FeI,3.37,65.11
48,5615.64,FeI,3.33,72.06
49,6065.48,FeI,2.61,35.46
50,6191.56,FeI,2.43,46.31
51,6200.31,FeI,2.61,7.85
52,6219.28,FeI,2.2,17.15
53,6230.72,FeI,2.56,54.2
54,6246.32,FeI,3.6,20.77
55,6265.13,FeI,2.18,14.91
56,6335.33,FeI,2.2,23.47
57,6411.65,FeI,3.65,24.34
58,6430.85,FeI,2.18,37.66
59,6494.98,FeI,2.4,62.63
60,6592.91,FeI,2.73,29.74
61,6677.99,FeI,2.69,39.2
62,4178.862,FeII,2.58,80.14
63,4491.405,FeII,2.86,53.64
64,4508.288,FeII,2.86,79.27
65,4520.224,FeII,2.81,68.55
66,4541.524,FeII,2.86,40.72
67,4576.34,FeII,2.84,42.75
68,4582.835,FeII,2.84,28.15
69,5234.625,FeII,3.22,68.05
70,5325.553,FeII,3.22,15.96
71,5425.257,FeII,3.2,15.3
72,6247.557,FeII,3.89,23.88
