,obs_wavelength,element,obs_ep,obs_ew
0,4147.67,FeI,1.48,73.68
1,4184.89,FeI,2.83,58.42
2,4430.61,FeI,2.22,64.96
3,4602.0,FeI,1.61,31.58
4,4602.94,FeI,1.48,75.67
5,4647.43,FeI,2.95,47.91
6,4924.77,FeI,2.28,47.64
7,4962.57,FeI,4.18,10.9
8,4966.09,FeI,3.33,63.86
9,4994.13,FeI,0.92,64.77
10,5014.94,FeI,3.94,58.87
11,5044.21,FeI,2.85,26.51
12,5051.64,FeI,0.92,79.12
13,5068.77,FeI,2.94,67.76
14,5083.34,FeI,0.96,70.2
15,5127.36,FeI,0.92,56.44
16,5150.84,FeI,0.99,63.08
17,5166.28,FeI,0.0,63.13
18,5187.91,FeI,4.14,10.81
19,5198.71,FeI,2.22,53.65
20,5216.27,FeI,1.61,74.28
21,5217.39,FeI,3.21,54.99
22,5263.31,FeI,3.27,62.04
23,5307.36,FeI,1.61,42.74
24,5321.11,FeI,4.43,5.54
25,5322.04,FeI,2.28,15.4
26,5569.62,FeI,3.42,78.89
27,5618.63,FeI,4.21,9.54
28,5624.54,FeI,3.42,65.02
29,5662.52,FeI,4.18,36.02
30,5686.53,FeI,4.55,18.82
31,5701.55,FeI,2.56,35.44
32,5753.12,FeI,4.26,27.23
33,5775.08,FeI,4.22,13.78
34,5816.37,FeI,4.55,16.58
35,6082.71,FeI,2.22,5.12
36,6137.69,FeI,2.59,74.42
37,6151.62,FeI,2.18,11.13
38,6165.36,FeI,4.14,6.84
39,6173.34,FeI,2.22,21.28
40,6191.56,FeI,2.43,74.6
41,6200.31,FeI,2.61,24.99
42,6219.28,FeI,2.2,44.16
43,6230.72,FeI,2.56,84.07
44,6246.32,FeI,3.6,56.09
45,6252.56,FeI,2.4,69.51
46,6265.13,FeI,2.18,41.44
47,6301.5,FeI,3.65,66.5
48,6335.33,FeI,2.2,54.06
49,6344.15,FeI,2.43,12.84
50,6355.03,FeI,2.84,18.96
51,6358.7,FeI,0.86,23.76
52,6393.6,FeI,2.43,75.89
53,6411.65,FeI,3.65,63.79
54,6421.35,FeI,2.28,61.05
55,6430.85,FeI,2.18,65.47
56,6494.98,FeI,2.4,88.3
57,6498.94,FeI,0.96,10.47
58,6592.91,FeI,2.73,59.14
59,6593.87,FeI,2.43,35.54
60,6609.11,FeI,2.56,18.34
61,6677.99,FeI,2.69,72.81
62,6750.15,FeI,2.42,27.53
63,4508.288,FeII,2.86,43.77
64,4576.34,FeII,2.84,21.09
65,4582.835,FeII,2.84,14.07
66,4923.927,FeII,2.89,85.1
67,4993.358,FeII,2.81,8.25
68,5197.577,FeII,3.23,35.17
69,5234.625,FeII,3.22,39.75
70,5325.553,FeII,3.22,6.84
71,5534.847,FeII,3.25,16.74
72,6149.258,FeII,3.89,6.3
73,6238.392,FeII,3.89,7.58
74,6247.557,FeII,3.89,13.09
75,6432.68,FeII,2.89,7.36
