,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,21.24
1,4132.9,FeI,2.84,34.26
2,4147.67,FeI,1.48,44.69
3,4157.78,FeI,3.42,33.74
4,4187.04,FeI,2.45,75.04
5,4216.18,FeI,0.0,58.12
6,4250.12,FeI,2.47,82.06
7,4375.93,FeI,0.0,71.85
8,4388.41,FeI,3.6,19.16
9,4430.61,FeI,2.22,33.83
10,4447.72,FeI,2.22,50.18
11,4461.65,FeI,0.09,61.11
12,4489.74,FeI,0.12,28.34
13,4494.56,FeI,2.2,60.07
14,4602.0,FeI,1.61,7.04
15,4602.94,FeI,1.48,44.12
16,4647.43,FeI,2.95,18.04
17,4788.76,FeI,3.24,4.79
18,4871.32,FeI,2.87,67.04
19,4872.14,FeI,2.88,55.7
20,4890.76,FeI,2.88,65.66
21,4891.49,FeI,2.85,81.43
22,4903.31,FeI,2.88,40.19
23,4918.99,FeI,2.87,71.09
24,4924.77,FeI,2.28,14.23
25,4938.81,FeI,2.88,30.91
26,4939.69,FeI,0.86,24.54
27,4966.09,FeI,3.33,24.63
28,4994.13,FeI,0.92,32.45
29,5014.94,FeI,3.94,23.84
30,5049.82,FeI,2.28,48.41
31,5051.64,FeI,0.92,48.14
32,5068.77,FeI,2.94,29.8
33,5083.34,FeI,0.96,37.1
34,5127.36,FeI,0.92,24.41
35,5150.84,FeI,0.99,27.2
36,5151.91,FeI,1.01,19.56
37,5166.28,FeI,0.0,27.41
38,5171.6,FeI,1.48,66.91
39,5191.45,FeI,3.04,49.27
40,5192.34,FeI,3.0,58.64
41,5194.94,FeI,1.56,50.08
42,5198.71,FeI,2.22,17.84
43,5202.34,FeI,2.18,34.07
44,5216.27,FeI,1.61,44.64
45,5217.39,FeI,3.21,17.93
46,5225.53,FeI,0.11,7.25
47,5232.94,FeI,2.94,82.32
48,5263.31,FeI,3.27,23.39
49,5266.56,FeI,3.0,62.79
50,5281.79,FeI,3.04,35.66
51,5283.62,FeI,3.24,45.3
52,5302.3,FeI,3.28,28.55
53,5307.36,FeI,1.61,11.8
54,5324.18,FeI,3.21,67.2
55,5501.47,FeI,0.96,35.22
56,5506.78,FeI,0.99,46.2
57,5569.62,FeI,3.42,34.76
58,5572.84,FeI,3.4,47.77
59,5586.76,FeI,3.37,60.13
60,5615.64,FeI,3.33,69.43
61,5624.54,FeI,3.42,23.0
62,5662.52,FeI,4.18,9.7
63,5701.55,FeI,2.56,8.25
64,6136.61,FeI,2.45,42.16
65,6137.69,FeI,2.59,37.39
66,6200.31,FeI,2.61,6.54
67,6219.28,FeI,2.2,11.55
68,6230.72,FeI,2.56,46.14
69,6246.32,FeI,3.6,16.61
70,6252.56,FeI,2.4,30.64
71,6265.13,FeI,2.18,10.4
72,6335.33,FeI,2.2,18.25
73,6355.03,FeI,2.84,3.58
74,6358.7,FeI,0.86,3.68
75,6393.6,FeI,2.43,37.67
76,6400.0,FeI,3.6,35.93
77,6411.65,FeI,3.65,22.57
78,6421.35,FeI,2.28,24.83
79,6430.85,FeI,2.18,28.17
80,6494.98,FeI,2.4,58.92
81,6592.91,FeI,2.73,24.58
82,6593.87,FeI,2.43,7.99
83,6677.99,FeI,2.69,32.55
84,6750.15,FeI,2.42,5.57
85,4178.862,FeII,2.58,26.07
86,4491.405,FeII,2.86,12.19
87,4508.288,FeII,2.86,25.46
88,4520.224,FeII,2.81,18.09
89,4541.524,FeII,2.86,8.01
90,4582.835,FeII,2.84,5.12
91,4923.927,FeII,2.89,69.48
92,5197.577,FeII,3.23,18.3
93,5234.625,FeII,3.22,21.61
