,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,13.93
1,4132.9,FeI,2.84,23.68
2,4147.67,FeI,1.48,31.17
3,4157.78,FeI,3.42,25.49
4,4184.89,FeI,2.83,27.99
5,4187.04,FeI,2.45,59.7
6,4216.18,FeI,0.0,40.51
7,4238.81,FeI,3.4,32.7
8,4250.12,FeI,2.47,66.77
9,4282.4,FeI,2.18,56.3
10,4375.93,FeI,0.0,58.34
11,4375.93,FeI,0.0,58.34
12,4388.41,FeI,3.6,13.88
13,4415.12,FeI,1.61,90.69
14,4430.61,FeI,2.22,21.85
15,4447.72,FeI,2.22,37.39
16,4461.65,FeI,0.09,44.95
17,4489.74,FeI,0.12,15.11
18,4494.56,FeI,2.2,48.53
19,4602.0,FeI,1.61,5.28
20,4602.94,FeI,1.48,30.18
21,4647.43,FeI,2.95,12.91
22,4871.32,FeI,2.87,50.02
23,4890.76,FeI,2.88,52.42
24,4891.49,FeI,2.85,66.29
25,4903.31,FeI,2.88,29.24
26,4918.99,FeI,2.87,57.43
27,4938.81,FeI,2.88,22.12
28,4939.69,FeI,0.86,14.49
29,4966.09,FeI,3.33,18.46
30,4994.13,FeI,0.92,20.13
31,5014.94,FeI,3.94,17.34
32,5051.64,FeI,0.92,32.11
33,5068.77,FeI,2.94,21.23
34,5150.84,FeI,0.99,16.2
35,5166.28,FeI,0.0,14.78
36,5171.6,FeI,1.48,51.23
37,5191.45,FeI,3.04,37.63
38,5194.94,FeI,1.56,35.16
39,5198.71,FeI,2.22,14.04
40,5202.34,FeI,2.18,23.05
41,5216.27,FeI,1.61,30.29
42,5217.39,FeI,3.21,13.58
43,5225.53,FeI,0.11,5.37
44,5232.94,FeI,2.94,67.98
45,5263.31,FeI,3.27,17.6
46,5266.56,FeI,3.0,48.42
47,5281.79,FeI,3.04,26.33
48,5307.36,FeI,1.61,8.73
49,5506.78,FeI,0.99,31.43
50,5569.62,FeI,3.42,25.82
51,5572.84,FeI,3.4,36.89
52,5586.76,FeI,3.37,46.55
53,5624.54,FeI,3.42,17.16
54,5701.55,FeI,2.56,6.11
55,6137.69,FeI,2.59,26.0
56,6246.32,FeI,3.6,12.99
57,6252.56,FeI,2.4,21.9
58,6265.13,FeI,2.18,8.23
59,6301.5,FeI,3.65,12.67
60,6335.33,FeI,2.2,12.83
61,6393.6,FeI,2.43,26.35
62,6411.65,FeI,3.65,16.29
63,6421.35,FeI,2.28,16.08
64,6430.85,FeI,2.18,20.29
65,6494.98,FeI,2.4,40.47
66,6592.91,FeI,2.73,17.16
67,6677.99,FeI,2.69,24.08
68,4491.405,FeII,2.86,12.09
69,4508.288,FeII,2.86,24.29
70,4520.224,FeII,2.81,17.11
71,4541.524,FeII,2.86,7.79
72,4576.34,FeII,2.84,8.59
73,4923.927,FeII,2.89,68.52
74,5197.577,FeII,3.23,18.12
75,5234.625,FeII,3.22,20.7
76,6516.08,FeII,2.89,7.28
