,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,48.59
1,4147.67,FeI,1.48,81.0
2,4184.89,FeI,2.83,66.4
3,4222.21,FeI,2.45,81.96
4,4238.81,FeI,3.4,65.96
5,4430.61,FeI,2.22,66.69
6,4447.72,FeI,2.22,83.31
7,4494.56,FeI,2.2,89.67
8,4602.0,FeI,1.61,31.41
9,4602.94,FeI,1.48,83.03
10,4647.43,FeI,2.95,43.83
11,4788.76,FeI,3.24,15.41
12,4871.32,FeI,2.87,91.67
13,4872.14,FeI,2.88,81.83
14,4890.76,FeI,2.88,91.74
15,4891.49,FeI,2.85,101.4
16,4903.31,FeI,2.88,69.03
17,4918.99,FeI,2.87,92.55
18,4924.77,FeI,2.28,44.02
19,4938.81,FeI,2.88,58.48
20,4939.69,FeI,0.86,70.19
21,4966.09,FeI,3.33,51.07
22,4994.13,FeI,0.92,78.59
23,5014.94,FeI,3.94,41.14
24,5044.21,FeI,2.85,19.43
25,5049.82,FeI,2.28,80.74
26,5051.64,FeI,0.92,91.94
27,5068.77,FeI,2.94,57.49
28,5083.34,FeI,0.96,81.6
29,5127.36,FeI,0.92,70.84
30,5150.84,FeI,0.99,74.51
31,5166.28,FeI,0.0,81.71
32,5171.6,FeI,1.48,102.45
33,5191.45,FeI,3.04,78.26
34,5198.71,FeI,2.22,51.8
35,5202.34,FeI,2.18,75.96
36,5216.27,FeI,1.61,82.9
37,5217.39,FeI,3.21,41.41
38,5225.53,FeI,0.11,43.92
39,5232.94,FeI,2.94,101.74
40,5247.05,FeI,0.09,36.54
41,5253.46,FeI,3.28,17.02
42,5263.31,FeI,3.27,47.83
43,5266.56,FeI,3.0,85.7
44,5281.79,FeI,3.04,63.2
45,5283.62,FeI,3.24,67.8
46,5302.3,FeI,3.28,53.43
47,5307.36,FeI,1.61,45.08
48,5322.04,FeI,2.28,13.39
49,5324.18,FeI,3.21,87.09
50,5332.9,FeI,1.56,52.36
51,5339.93,FeI,3.27,60.24
52,5364.87,FeI,4.45,37.67
53,5367.47,FeI,4.42,43.72
54,5393.17,FeI,3.24,57.65
55,5397.13,FeI,0.92,122.08
56,5405.77,FeI,0.99,124.15
57,5410.91,FeI,4.47,38.96
58,5415.2,FeI,4.39,52.7
59,5569.62,FeI,3.42,58.47
60,5586.76,FeI,3.37,79.09
61,5624.54,FeI,3.42,46.71
62,5662.52,FeI,4.18,21.58
63,5686.53,FeI,4.55,7.76
64,5701.55,FeI,2.56,27.54
65,5753.12,FeI,4.26,14.11
66,6065.48,FeI,2.61,62.12
67,6200.31,FeI,2.61,17.98
68,6219.28,FeI,2.2,42.44
69,6230.72,FeI,2.56,78.82
70,6246.32,FeI,3.6,36.71
71,6252.56,FeI,2.4,68.69
72,6265.13,FeI,2.18,36.8
73,6322.69,FeI,2.59,19.74
74,6335.33,FeI,2.2,51.86
75,6393.6,FeI,2.43,73.1
76,6411.65,FeI,3.65,41.84
77,6421.35,FeI,2.28,61.16
78,6430.85,FeI,2.18,66.26
79,6494.98,FeI,2.4,88.36
80,6592.91,FeI,2.73,55.36
81,6593.87,FeI,2.43,27.82
82,6609.11,FeI,2.56,13.53
83,6677.99,FeI,2.69,65.6
84,6750.15,FeI,2.42,22.63
85,4178.862,FeII,2.58,61.93
86,4491.405,FeII,2.86,42.85
87,4508.288,FeII,2.86,61.34
88,4520.224,FeII,2.81,51.75
89,4541.524,FeII,2.86,32.01
90,4576.34,FeII,2.84,33.44
91,4582.835,FeII,2.84,23.46
92,4923.927,FeII,2.89,104.23
93,4993.358,FeII,2.81,11.62
94,5234.625,FeII,3.22,51.28
95,5264.812,FeII,3.23,16.69
96,5325.553,FeII,3.22,12.32
97,5414.073,FeII,3.22,5.0
98,5425.257,FeII,3.2,11.21
99,5534.847,FeII,3.25,24.76
100,6149.258,FeII,3.89,6.55
101,6247.557,FeII,3.89,17.15
102,6516.08,FeII,2.89,21.47
