,obs_wavelength,element,obs_ep,obs_ew
0,4602.0,FeI,1.61,69.95
1,4788.76,FeI,3.24,52.57
2,4903.31,FeI,2.88,112.27
3,5014.94,FeI,3.94,79.66
4,5150.84,FeI,0.99,106.13
5,5187.91,FeI,4.14,32.49
6,5198.71,FeI,2.22,89.21
7,5202.34,FeI,2.18,131.87
8,5217.39,FeI,3.21,84.72
9,5225.53,FeI,0.11,78.95
10,5253.46,FeI,3.28,58.74
11,5307.36,FeI,1.61,81.93
12,5322.04,FeI,2.28,52.34
13,5501.47,FeI,0.96,109.78
14,5506.78,FeI,0.99,115.61
15,5569.62,FeI,3.42,102.13
16,5586.76,FeI,3.37,125.34
17,5618.63,FeI,4.21,27.81
18,5753.12,FeI,4.26,51.15
19,5775.08,FeI,4.22,34.08
20,6065.48,FeI,2.61,99.47
21,6137.69,FeI,2.59,107.4
22,6151.62,FeI,2.18,40.72
23,6165.36,FeI,4.14,22.89
24,6173.34,FeI,2.22,59.73
25,6200.31,FeI,2.61,60.41
26,6219.28,FeI,2.2,80.74
27,6230.72,FeI,2.56,120.7
28,6246.32,FeI,3.6,82.77
29,6252.56,FeI,2.4,104.17
30,6265.13,FeI,2.18,78.04
31,6301.5,FeI,3.65,102.27
32,6322.69,FeI,2.59,62.0
33,6335.33,FeI,2.2,89.36
34,6344.15,FeI,2.43,45.52
35,6355.03,FeI,2.84,56.02
36,6358.7,FeI,0.86,72.54
37,6393.6,FeI,2.43,108.62
38,6411.65,FeI,3.65,88.77
39,6421.35,FeI,2.28,98.94
40,6430.85,FeI,2.18,100.61
41,6481.87,FeI,2.28,53.94
42,6498.94,FeI,0.96,42.61
43,6593.87,FeI,2.43,74.07
44,6677.99,FeI,2.69,103.86
45,6750.15,FeI,2.42,64.65
46,4508.288,FeII,2.86,75.1
47,4923.927,FeII,2.89,124.13
48,5234.625,FeII,3.22,72.91
49,6084.111,FeII,3.2,11.93
50,6149.258,FeII,3.89,20.7
51,6238.392,FeII,3.89,28.77
52,6247.557,FeII,3.89,37.87
53,6416.919,FeII,3.89,24.36
54,6432.68,FeII,2.89,30.39
55,6516.08,FeII,2.89,47.94
