,obs_wavelength,element,obs_ep,obs_ew
0,4447.72,FeI,2.22,101.06
1,4602.0,FeI,1.61,46.05
2,4602.94,FeI,1.48,87.0
3,4788.76,FeI,3.24,37.03
4,4800.65,FeI,4.14,27.09
5,4903.31,FeI,2.88,94.1
6,4924.77,FeI,2.28,61.82
7,4962.57,FeI,4.18,20.43
8,4966.09,FeI,3.33,76.0
9,4994.13,FeI,0.92,79.55
10,5014.94,FeI,3.94,70.76
11,5044.21,FeI,2.85,41.4
12,5049.82,FeI,2.28,95.94
13,5068.77,FeI,2.94,76.15
14,5083.34,FeI,0.96,81.22
15,5127.36,FeI,0.92,69.83
16,5150.84,FeI,0.99,77.38
17,5187.91,FeI,4.14,22.27
18,5198.71,FeI,2.22,67.51
19,5202.34,FeI,2.18,108.29
20,5217.39,FeI,3.21,69.42
21,5225.53,FeI,0.11,45.47
22,5253.46,FeI,3.28,42.15
23,5263.31,FeI,3.27,75.23
24,5281.79,FeI,3.04,88.6
25,5302.3,FeI,3.28,80.75
26,5307.36,FeI,1.61,58.01
27,5321.11,FeI,4.43,12.46
28,5322.04,FeI,2.28,29.65
29,5324.18,FeI,3.21,122.41
30,5569.62,FeI,3.42,88.95
31,5618.63,FeI,4.21,19.1
32,5624.54,FeI,3.42,77.96
33,5701.55,FeI,2.56,50.27
34,5753.12,FeI,4.26,40.26
35,5775.08,FeI,4.22,24.18
36,5816.37,FeI,4.55,32.65
37,6137.69,FeI,2.59,86.65
38,6151.62,FeI,2.18,20.69
39,6173.34,FeI,2.22,36.41
40,6200.31,FeI,2.61,39.1
41,6219.28,FeI,2.2,59.3
42,6230.72,FeI,2.56,96.47
43,6246.32,FeI,3.6,71.0
44,6252.56,FeI,2.4,82.35
45,6265.13,FeI,2.18,55.23
46,6297.79,FeI,2.22,44.22
47,6301.5,FeI,3.65,72.42
48,6322.69,FeI,2.59,41.54
49,6335.33,FeI,2.2,67.78
50,6344.15,FeI,2.43,26.67
51,6355.03,FeI,2.84,34.32
52,6358.7,FeI,0.86,38.11
53,6393.6,FeI,2.43,88.35
54,6411.65,FeI,3.65,78.32
55,6421.35,FeI,2.28,75.21
56,6430.85,FeI,2.18,78.51
57,6481.87,FeI,2.28,31.57
58,6494.98,FeI,2.4,100.07
59,6498.94,FeI,0.96,17.7
60,6592.91,FeI,2.73,73.09
61,6593.87,FeI,2.43,50.71
62,6609.11,FeI,2.56,30.38
63,6677.99,FeI,2.69,84.33
64,6750.15,FeI,2.42,43.59
65,4491.405,FeII,2.86,54.26
66,4508.288,FeII,2.86,67.27
67,4541.524,FeII,2.86,43.01
68,4582.835,FeII,2.84,35.12
69,4923.927,FeII,2.89,110.98
70,4993.358,FeII,2.81,20.86
71,5197.577,FeII,3.23,60.66
72,5234.625,FeII,3.22,63.51
73,5325.553,FeII,3.22,22.25
74,5534.847,FeII,3.25,39.33
75,6084.111,FeII,3.2,7.37
76,6149.258,FeII,3.89,17.56
77,6238.392,FeII,3.89,23.12
78,6247.557,FeII,3.89,32.99
79,6416.919,FeII,3.89,18.29
80,6432.68,FeII,2.89,21.5
81,6516.08,FeII,2.89,32.83
