,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,23.39
1,4132.9,FeI,2.84,36.17
2,4147.67,FeI,1.48,54.79
3,4187.04,FeI,2.45,72.69
4,4216.18,FeI,0.0,73.87
5,4238.81,FeI,3.4,40.68
6,4430.61,FeI,2.22,38.54
7,4447.72,FeI,2.22,55.19
8,4461.65,FeI,0.09,76.44
9,4489.74,FeI,0.12,43.84
10,4494.56,FeI,2.2,64.78
11,4602.0,FeI,1.61,9.88
12,4602.94,FeI,1.48,54.16
13,4647.43,FeI,2.95,20.14
14,4871.32,FeI,2.87,64.8
15,4872.14,FeI,2.88,55.75
16,4890.76,FeI,2.88,64.87
17,4891.49,FeI,2.85,76.91
18,4903.31,FeI,2.88,40.72
19,4918.99,FeI,2.87,68.61
20,4924.77,FeI,2.28,17.28
21,4938.81,FeI,2.88,32.76
22,4939.69,FeI,0.86,36.73
23,4966.09,FeI,3.33,24.96
24,4994.13,FeI,0.92,46.32
25,5006.12,FeI,2.83,57.48
26,5014.94,FeI,3.94,21.34
27,5044.21,FeI,2.85,6.37
28,5049.82,FeI,2.28,53.39
29,5051.64,FeI,0.92,62.11
30,5068.77,FeI,2.94,31.04
31,5083.34,FeI,0.96,50.74
32,5127.36,FeI,0.92,36.32
33,5150.84,FeI,0.99,39.35
34,5166.28,FeI,0.0,45.15
35,5171.6,FeI,1.48,77.12
36,5187.91,FeI,4.14,1.34
37,5191.45,FeI,3.04,50.14
38,5192.34,FeI,3.0,56.09
39,5194.94,FeI,1.56,59.91
40,5198.71,FeI,2.22,22.29
41,5202.34,FeI,2.18,40.21
42,5216.27,FeI,1.61,54.26
43,5217.39,FeI,3.21,18.69
44,5225.53,FeI,0.11,14.18
45,5232.94,FeI,2.94,77.45
46,5263.31,FeI,3.27,23.23
47,5266.56,FeI,3.0,60.39
48,5281.79,FeI,3.04,36.38
49,5283.62,FeI,3.24,43.1
50,5302.3,FeI,3.28,28.54
51,5307.36,FeI,1.61,16.85
52,5322.04,FeI,2.28,3.97
53,5324.18,FeI,3.21,60.98
54,5569.62,FeI,3.42,32.32
55,5572.84,FeI,3.4,42.91
56,5586.76,FeI,3.37,52.84
57,5624.54,FeI,3.42,22.37
58,5662.52,FeI,4.18,8.12
59,5701.55,FeI,2.56,9.68
60,5753.12,FeI,4.26,5.35
61,6137.69,FeI,2.59,39.17
62,6219.28,FeI,2.2,14.61
63,6230.72,FeI,2.56,48.79
64,6246.32,FeI,3.6,16.15
65,6252.56,FeI,2.4,35.12
66,6265.13,FeI,2.18,13.42
67,6297.79,FeI,2.22,24.7
68,6322.69,FeI,2.59,6.62
69,6335.33,FeI,2.2,22.26
70,6358.7,FeI,0.86,6.37
71,6393.6,FeI,2.43,41.18
72,6411.65,FeI,3.65,21.07
73,6421.35,FeI,2.28,29.29
74,6430.85,FeI,2.18,33.84
75,6593.87,FeI,2.43,10.47
76,6677.99,FeI,2.69,35.68
77,6750.15,FeI,2.42,6.19
78,4178.862,FeII,2.58,39.84
79,4491.405,FeII,2.86,20.88
80,4508.288,FeII,2.86,37.19
81,4520.224,FeII,2.81,28.45
82,4541.524,FeII,2.86,13.56
83,4576.34,FeII,2.84,14.74
84,4582.835,FeII,2.84,9.6
85,4923.927,FeII,2.89,81.71
86,5197.577,FeII,3.23,26.99
87,5234.625,FeII,3.22,30.89
88,5264.812,FeII,3.23,5.77
89,5276.002,FeII,3.2,37.15
90,5325.553,FeII,3.22,4.67
91,5534.847,FeII,3.25,10.11
92,6149.258,FeII,3.89,2.8
93,6247.557,FeII,3.89,6.57
94,6432.68,FeII,2.89,4.17
