,obs_wavelength,element,obs_ep,obs_ew
0,4114.44,FeI,2.83,66.86
1,4447.72,FeI,2.22,98.91
2,4602.0,FeI,1.61,45.69
3,4602.94,FeI,1.48,97.02
4,4788.76,FeI,3.24,27.18
5,4890.76,FeI,2.88,113.49
6,4891.49,FeI,2.85,123.49
7,4903.31,FeI,2.88,89.72
8,4924.77,FeI,2.28,62.17
9,4939.69,FeI,0.86,81.6
10,4966.09,FeI,3.33,72.1
11,5014.94,FeI,3.94,61.96
12,5049.82,FeI,2.28,101.86
13,5051.64,FeI,0.92,110.39
14,5083.34,FeI,0.96,96.75
15,5150.84,FeI,0.99,92.04
16,5166.28,FeI,0.0,93.45
17,5198.71,FeI,2.22,68.89
18,5202.34,FeI,2.18,99.83
19,5216.27,FeI,1.61,98.95
20,5217.39,FeI,3.21,62.45
21,5225.53,FeI,0.11,53.12
22,5232.94,FeI,2.94,123.86
23,5281.79,FeI,3.04,85.23
24,5307.36,FeI,1.61,61.1
25,5322.04,FeI,2.28,24.61
26,5324.18,FeI,3.21,109.29
27,5569.62,FeI,3.42,80.43
28,5586.76,FeI,3.37,102.06
29,5618.63,FeI,4.21,9.94
30,5624.54,FeI,3.42,66.48
31,5624.54,FeI,3.42,68.26
32,5753.12,FeI,4.26,27.46
33,5775.08,FeI,4.22,13.68
34,6137.69,FeI,2.59,90.08
35,6151.62,FeI,2.18,15.99
36,6165.36,FeI,4.14,7.07
37,6173.34,FeI,2.22,31.37
38,6200.31,FeI,2.61,31.56
39,6219.28,FeI,2.2,57.79
40,6230.72,FeI,2.56,99.22
41,6246.32,FeI,3.6,57.02
42,6252.56,FeI,2.4,85.03
43,6265.13,FeI,2.18,52.59
44,6335.33,FeI,2.2,69.25
45,6344.15,FeI,2.43,21.66
46,6355.03,FeI,2.84,26.11
47,6358.7,FeI,0.86,35.05
48,6393.6,FeI,2.43,91.51
49,6411.65,FeI,3.65,65.5
50,6421.35,FeI,2.28,78.17
51,6430.85,FeI,2.18,84.05
52,6481.87,FeI,2.28,25.31
53,6494.98,FeI,2.4,107.8
54,6498.94,FeI,0.96,17.31
55,6592.91,FeI,2.73,73.69
56,6593.87,FeI,2.43,45.37
57,6609.11,FeI,2.56,24.81
58,6677.99,FeI,2.69,85.86
59,6750.15,FeI,2.42,37.54
60,4491.405,FeII,2.86,68.86
61,4508.288,FeII,2.86,86.86
62,4576.34,FeII,2.84,60.41
63,4582.835,FeII,2.84,44.08
64,4923.927,FeII,2.89,138.89
65,6084.111,FeII,3.2,10.97
66,6149.258,FeII,3.89,21.56
67,6238.392,FeII,3.89,24.61
68,6247.557,FeII,3.89,38.87
69,6416.919,FeII,3.89,20.37
70,6432.68,FeII,2.89,28.94
