,obs_wavelength,element,obs_ep,obs_ew
0,4238.81,FeI,3.4,72.51
1,4430.61,FeI,2.22,68.05
2,4602.0,FeI,1.61,30.44
3,4647.43,FeI,2.95,39.66
4,4966.09,FeI,3.33,48.96
5,5216.27,FeI,1.61,83.43
6,5217.39,FeI,3.21,40.98
7,5225.53,FeI,0.11,42.47
8,5281.79,FeI,3.04,74.07
9,5302.3,FeI,3.28,64.13
10,5307.36,FeI,1.61,40.3
11,5322.04,FeI,2.28,12.3
12,5501.47,FeI,0.96,84.74
13,5624.54,FeI,3.42,51.26
14,5662.52,FeI,4.18,14.78
15,5701.55,FeI,2.56,25.68
16,5753.12,FeI,4.26,8.32
17,6151.62,FeI,2.18,8.71
18,6173.34,FeI,2.22,15.76
19,6200.31,FeI,2.61,17.94
20,6219.28,FeI,2.2,40.13
21,6246.32,FeI,3.6,36.18
22,6252.56,FeI,2.4,68.99
23,6265.13,FeI,2.18,34.51
24,6322.69,FeI,2.59,17.8
25,6335.33,FeI,2.2,51.86
26,6344.15,FeI,2.43,11.77
27,6355.03,FeI,2.84,10.93
28,6358.7,FeI,0.86,23.95
29,6393.6,FeI,2.43,80.26
30,6411.65,FeI,3.65,43.32
31,6421.35,FeI,2.28,58.05
32,6430.85,FeI,2.18,67.33
33,6481.87,FeI,2.28,19.32
34,6498.94,FeI,0.96,11.86
35,6609.11,FeI,2.56,12.32
36,6677.99,FeI,2.69,72.83
37,6750.15,FeI,2.42,20.18
38,4508.288,FeII,2.86,8.18
39,4520.224,FeII,2.81,4.45
40,4923.927,FeII,2.89,35.81
