,obs_wavelength,element,obs_ep,obs_ew
0,5307.36,FeI,1.61,155.22
1,5322.04,FeI,2.28,109.52
2,5775.08,FeI,4.22,56.59
3,6151.62,FeI,2.18,102.85
4,6165.36,FeI,4.14,42.87
5,6173.34,FeI,2.22,122.72
6,6200.31,FeI,2.61,117.87
7,6219.28,FeI,2.2,152.44
8,6246.32,FeI,3.6,121.81
9,6252.56,FeI,2.4,178.69
10,6265.13,FeI,2.18,148.32
11,6297.79,FeI,2.22,133.07
12,6301.5,FeI,3.65,122.14
13,6322.69,FeI,2.59,118.65
14,6335.33,FeI,2.2,167.91
15,6344.15,FeI,2.43,112.44
16,6355.03,FeI,2.84,114.11
17,6358.7,FeI,0.86,173.44
18,6393.6,FeI,2.43,185.63
19,6411.65,FeI,3.65,128.67
20,6421.35,FeI,2.28,178.45
21,6430.85,FeI,2.18,187.65
22,6481.87,FeI,2.28,117.04
23,6593.87,FeI,2.43,138.94
24,6677.99,FeI,2.69,176.92
25,6750.15,FeI,2.42,129.82
26,6149.258,FeII,3.89,17.23
27,6238.392,FeII,3.89,31.64
28,6238.392,FeII,3.89,31.64
29,6247.557,FeII,3.89,34.85
30,6432.68,FeII,2.89,33.8
