,obs_wavelength,element,obs_ep,obs_ew
0,4602.0,FeI,1.61,43.19
1,4602.94,FeI,1.48,84.88
2,4788.76,FeI,3.24,35.07
3,4903.31,FeI,2.88,94.72
4,4924.77,FeI,2.28,61.32
5,4994.13,FeI,0.92,76.92
6,5014.94,FeI,3.94,70.94
7,5044.21,FeI,2.85,41.11
8,5049.82,FeI,2.28,96.15
9,5083.34,FeI,0.96,77.14
10,5150.84,FeI,0.99,74.13
11,5187.91,FeI,4.14,22.15
12,5198.71,FeI,2.22,66.51
13,5202.34,FeI,2.18,105.65
14,5216.27,FeI,1.61,86.04
15,5217.39,FeI,3.21,71.73
16,5225.53,FeI,0.11,41.32
17,5253.46,FeI,3.28,40.46
18,5307.36,FeI,1.61,55.71
19,5322.04,FeI,2.28,27.62
20,5569.62,FeI,3.42,92.98
21,5618.63,FeI,4.21,19.64
22,5701.55,FeI,2.56,49.35
23,5775.08,FeI,4.22,24.71
24,5816.37,FeI,4.55,32.02
25,6065.48,FeI,2.61,40.85
26,6137.69,FeI,2.59,87.75
27,6151.62,FeI,2.18,18.31
28,6165.36,FeI,4.14,14.59
29,6173.34,FeI,2.22,35.02
30,6200.31,FeI,2.61,37.49
31,6219.28,FeI,2.2,56.06
32,6230.72,FeI,2.56,97.56
33,6246.32,FeI,3.6,71.49
34,6252.56,FeI,2.4,81.71
35,6265.13,FeI,2.18,54.04
36,6297.79,FeI,2.22,40.52
37,6322.69,FeI,2.59,38.9
38,6335.33,FeI,2.2,65.44
39,6344.15,FeI,2.43,24.78
40,6355.03,FeI,2.84,31.09
41,6358.7,FeI,0.86,35.57
42,6393.6,FeI,2.43,88.85
43,6411.65,FeI,3.65,79.33
44,6421.35,FeI,2.28,74.81
45,6430.85,FeI,2.18,77.73
46,6481.87,FeI,2.28,28.9
47,6592.91,FeI,2.73,72.64
48,6593.87,FeI,2.43,48.62
49,6609.11,FeI,2.56,30.31
50,6677.99,FeI,2.69,85.71
51,6750.15,FeI,2.42,40.19
52,4508.288,FeII,2.86,63.78
53,4541.524,FeII,2.86,41.16
54,4582.835,FeII,2.84,31.72
55,4923.927,FeII,2.89,109.66
56,5234.625,FeII,3.22,60.52
57,5534.847,FeII,3.25,35.38
58,6149.258,FeII,3.89,16.07
59,6238.392,FeII,3.89,20.32
60,6247.557,FeII,3.89,29.7
61,6432.68,FeII,2.89,18.3
