,element,obs_wavelength,obs_ep,obs_ew,abund
138,FeI,6609.11,2.56,117.0,7.68
139,FeI,6627.54,4.55,55.0,7.67
140,FeI,6648.08,1.01,52.4,7.9
141,FeI,6699.14,4.59,21.1,7.54
142,FeI,6703.57,2.76,79.8,7.58
143,FeI,6713.74,4.8,42.3,7.62
144,FeI,6733.15,4.64,53.9,7.64
145,FeI,6739.52,1.56,51.1,7.39
146,FeI,6786.86,4.19,50.2,7.55
147,FeI,6804.27,4.58,35.2,7.56
148,FeI,6806.84,2.73,78.4,6.57
149,FeI,6810.26,4.61,76.2,7.51
150,FeI,6820.37,4.64,71.2,7.68
151,FeII,4993.36,2.81,53.5,7.28
152,FeII,5414.07,3.22,40.7,7.32
153,FeII,5425.26,3.2,58.2,7.34
154,FeII,5991.38,3.15,52.7,7.58
155,FeII,6084.11,3.2,39.4,7.57
156,FeII,6113.32,3.22,25.3,7.59
157,FeII,6149.26,3.89,51.0,7.53
158,FeII,6247.56,3.89,68.5,7.51
159,FeII,6369.46,2.89,34.6,7.36
160,FeII,6432.68,2.89,62.9,7.43
161,FeII,6456.38,3.9,82.9,7.55
