,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4139.94,0.99,7.6
1,FeI,4152.18,0.958,18.9
2,FeI,4174.92,0.915,26.0
3,FeI,4216.19,0.0,50.4
4,FeI,4233.61,2.482,65.0
5,FeI,4235.95,2.426,83.3
6,FeI,4258.32,0.087,12.4
7,FeI,4271.16,2.45,81.4
8,FeI,4337.05,1.557,58.7
9,FeI,4442.35,2.198,61.3
10,FeI,4442.84,2.176,5.8
11,FeI,4461.66,0.087,61.1
12,FeI,4531.16,1.485,41.1
13,FeI,4592.66,1.557,25.1
14,FeI,4602.01,1.608,5.2
15,FeI,4602.95,1.485,35.7
16,FeI,5083.34,0.958,29.0
17,FeI,5198.72,2.223,17.0
18,FeI,5216.28,1.608,35.0
19,FeI,5217.4,3.211,21.0
20,FeI,5434.53,1.011,68.8
21,FeI,5701.56,2.559,6.7
22,FeI,5930.19,4.652,6.1
23,FeI,6003.02,3.882,9.2
24,FeI,6065.49,2.609,26.2
25,FeI,6213.44,2.223,7.7
26,FeI,6219.29,2.198,8.0
27,FeI,6246.33,3.603,15.9
28,FeI,6252.56,2.404,24.6
29,FeI,6265.14,2.176,7.5
30,FeI,6335.34,2.198,13.2
31,FeI,6411.66,3.654,19.9
32,FeI,6421.36,2.279,16.9
33,FeI,6750.16,2.424,7.9
34,FeII,4178.86,2.583,33.9
35,FeII,4416.82,2.779,31.7
36,FeII,4491.4,2.856,19.1
37,FeII,4508.3,2.856,35.0
38,FeII,4541.52,2.856,10.7
39,FeII,4555.89,2.828,36.0
40,FeII,4576.34,2.844,10.6
41,FeII,4582.83,2.844,6.2
42,FeII,4620.52,2.828,4.6
43,FeII,5234.63,3.221,30.0
44,FeII,5264.81,3.339,5.4
45,FeII,5325.56,3.221,4.9
46,FeII,6247.56,3.892,7.8
47,FeII,6456.39,3.904,11.2
