,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4139.94,0.99,8.5
1,FeI,4147.68,1.485,46.0
2,FeI,4152.18,0.958,24.3
3,FeI,4174.92,0.915,35.7
4,FeI,4202.04,1.485,99.9
5,FeI,4216.19,0.0,59.9
6,FeI,4222.22,2.45,64.5
7,FeI,4232.73,0.11,4.4
8,FeI,4233.61,2.482,74.6
9,FeI,4235.95,2.426,91.8
10,FeI,4258.32,0.087,20.0
11,FeI,4271.16,2.45,89.5
12,FeI,4337.05,1.557,71.5
13,FeI,4389.25,0.052,5.5
14,FeI,4430.62,2.223,33.7
15,FeI,4442.35,2.198,60.7
16,FeI,4442.84,2.176,6.0
17,FeI,4447.73,2.223,53.9
18,FeI,4461.66,0.087,60.2
19,FeI,4489.75,0.121,25.4
20,FeI,4494.57,2.198,65.6
21,FeI,4528.63,2.176,88.9
22,FeI,4531.16,1.485,50.5
23,FeI,4602.01,1.608,6.1
24,FeI,4602.95,1.485,44.1
25,FeI,4632.92,1.608,13.8
26,FeI,4788.76,3.241,9.8
27,FeI,5859.6,4.549,9.2
28,FeI,5862.37,4.549,10.7
29,FeI,5905.68,4.652,6.1
30,FeI,5930.19,4.652,11.6
31,FeI,5934.67,3.929,6.6
32,FeI,5984.83,4.733,10.9
33,FeI,6003.02,3.882,9.8
34,FeI,6008.57,3.884,9.6
35,FeI,6065.49,2.609,32.2
36,FeI,6213.44,2.223,11.4
37,FeI,6219.29,2.198,12.0
38,FeI,6232.65,3.654,7.9
39,FeI,6246.33,3.603,19.1
40,FeI,6252.56,2.404,31.0
41,FeI,6265.14,2.176,9.8
42,FeI,6301.51,3.654,18.2
43,FeI,6335.34,2.198,16.5
44,FeI,6411.66,3.654,22.7
45,FeI,6421.36,2.279,20.4
46,FeI,6593.88,2.433,14.2
47,FeI,6609.12,2.559,6.6
48,FeI,6750.16,2.424,8.1
49,FeII,4178.86,2.583,46.3
50,FeII,4541.52,2.856,15.7
51,FeII,4576.34,2.844,16.6
52,FeII,4582.83,2.844,9.6
53,FeII,4620.52,2.828,8.1
54,FeII,6247.56,3.892,8.9
55,FeII,6456.39,3.904,12.1
56,FeII,6516.08,2.891,7.4
