,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4439.89,2.279,11.0
1,FeI,4445.48,0.087,4.2
2,FeI,4447.73,2.223,81.1
3,FeI,4489.75,0.121,57.1
4,FeI,4494.57,2.198,87.5
5,FeI,4523.41,3.654,9.0
6,FeI,4556.93,3.252,3.1
7,FeI,4574.23,3.211,5.3
8,FeI,4593.53,3.944,1.9
9,FeI,4602.01,1.608,21.6
10,FeI,4602.95,1.485,68.5
11,FeI,4632.92,1.608,42.3
12,FeI,4672.84,1.608,3.4
13,FeI,4779.45,3.415,4.6
14,FeI,4788.76,3.241,15.1
15,FeI,4798.27,4.187,4.9
16,FeI,4808.16,3.252,5.3
17,FeI,4835.87,4.104,6.6
18,FeI,4885.43,3.882,22.8
19,FeI,4892.87,4.218,10.3
20,FeI,4917.24,4.191,13.2
21,FeI,4961.92,3.635,4.6
22,FeI,4962.58,4.178,13.3
23,FeI,5016.48,4.257,2.4
24,FeI,5083.34,0.958,60.6
25,FeI,5187.92,4.143,7.7
26,FeI,5194.95,1.557,71.3
27,FeI,5196.06,4.257,18.9
28,FeI,5198.72,2.223,42.5
29,FeI,5216.28,1.608,69.0
30,FeI,5217.4,3.211,51.1
31,FeI,5225.53,0.11,23.9
32,FeI,5243.78,4.257,13.2
33,FeI,5247.06,0.087,15.2
34,FeI,5250.22,0.121,14.1
35,FeI,5295.32,4.416,4.7
36,FeI,5307.37,1.608,37.5
37,FeI,5321.11,4.435,7.5
38,FeI,5464.29,4.143,7.4
39,FeI,5494.47,4.076,2.4
40,FeI,5522.45,4.209,5.1
41,FeI,5547.0,4.218,4.0
42,FeI,5560.22,4.435,10.4
43,FeI,5618.64,4.209,9.8
44,FeI,5619.61,4.387,4.0
45,FeI,5650.0,5.086,3.0
46,FeI,5701.56,2.559,25.4
47,FeI,5717.84,4.285,21.8
48,FeI,5731.77,4.256,10.7
49,FeI,5741.86,4.256,3.2
50,FeI,5752.04,4.549,10.5
51,FeI,5760.36,3.642,2.3
52,FeI,5775.09,4.221,13.2
53,FeI,5793.92,4.221,2.8
54,FeI,5806.73,4.608,11.5
55,FeI,5814.81,4.284,3.2
56,FeI,5852.23,4.549,3.3
57,FeI,5856.1,4.295,2.7
58,FeI,5859.6,4.549,25.5
59,FeI,5862.37,4.549,37.1
60,FeI,5927.8,4.652,4.4
61,FeI,5934.67,3.929,15.3
62,FeI,5956.71,0.859,13.9
63,FeI,6003.02,3.882,28.0
64,FeI,6007.97,4.652,14.6
65,FeI,6008.57,3.884,30.4
66,FeI,6027.06,4.076,14.4
67,FeI,6056.01,4.733,15.1
68,FeI,6065.49,2.609,68.6
69,FeI,6078.5,4.796,24.6
70,FeI,6079.02,4.652,8.8
71,FeI,6082.72,2.223,5.2
72,FeI,6096.67,3.984,2.9
73,FeI,6137.0,2.198,11.8
74,FeI,6151.62,2.176,6.4
75,FeI,6157.73,4.076,11.0
76,FeI,6165.36,4.143,5.5
77,FeI,6173.34,2.223,15.5
78,FeI,6213.44,2.223,28.0
79,FeI,6219.29,2.198,38.2
80,FeI,6232.65,3.654,30.2
81,FeI,6240.65,2.223,5.2
82,FeI,6246.33,3.603,48.8
83,FeI,6252.56,2.404,63.6
84,FeI,6265.14,2.176,29.5
85,FeI,6270.23,2.858,7.2
86,FeI,6297.8,2.223,36.3
87,FeI,6301.51,3.654,53.6
88,FeI,6322.69,2.588,19.7
89,FeI,6330.85,4.733,4.1
90,FeI,6335.34,2.198,49.8
91,FeI,6380.75,4.187,7.5
92,FeI,6393.61,2.433,71.2
93,FeI,6411.66,3.654,67.0
94,FeI,6421.36,2.279,59.3
95,FeI,6481.88,2.279,10.0
96,FeI,6498.94,0.958,4.7
97,FeI,6533.94,4.559,5.3
98,FeI,6593.88,2.433,37.4
99,FeI,6609.12,2.559,10.6
100,FeI,6627.56,4.549,2.2
101,FeI,6633.76,4.559,11.2
102,FeI,6703.58,2.759,5.8
103,FeI,6726.67,4.607,5.1
104,FeI,6733.15,4.639,2.3
105,FeI,6750.16,2.424,17.1
106,FeI,6839.83,2.559,4.0
107,FeI,6843.66,4.549,13.7
108,FeI,6858.16,4.608,10.5
109,FeII,4416.82,2.779,57.1
110,FeII,4491.4,2.856,41.7
111,FeII,4508.3,2.856,53.1
112,FeII,4541.52,2.856,34.1
113,FeII,4555.89,2.828,54.8
114,FeII,4576.34,2.844,34.9
115,FeII,4582.83,2.844,25.2
116,FeII,4620.52,2.828,21.5
117,FeII,4635.31,5.956,3.7
118,FeII,4656.98,2.891,6.9
119,FeII,4923.93,2.891,91.7
120,FeII,4993.35,2.807,9.2
121,FeII,5100.66,2.807,4.1
122,FeII,5132.67,2.807,3.9
123,FeII,5197.58,3.231,42.6
124,FeII,5234.63,3.221,49.8
125,FeII,5264.81,3.339,14.3
126,FeII,5284.11,2.891,23.1
127,FeII,5325.56,3.221,11.7
128,FeII,5525.13,3.267,2.7
129,FeII,5534.85,3.245,29.2
130,FeII,6084.1,3.2,5.3
131,FeII,6149.25,3.889,8.7
132,FeII,6247.56,3.892,16.4
133,FeII,6416.93,3.892,13.7
134,FeII,6456.39,3.904,33.3
