,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4139.94,0.99,12.2
1,FeI,4181.75,2.832,69.5
2,FeI,4232.73,0.11,5.4
3,FeI,4258.32,0.087,23.5
4,FeI,4347.24,0.0,1.6
5,FeI,4383.56,1.485,133.9
6,FeI,4389.25,0.052,9.4
7,FeI,4439.89,2.279,2.9
8,FeI,4442.84,2.176,4.1
9,FeI,4523.41,3.654,1.9
10,FeI,4551.65,3.944,1.6
11,FeI,4593.53,3.944,13.2
12,FeI,4632.92,1.608,15.6
13,FeI,4680.31,1.608,6.5
14,FeI,4745.14,2.223,1.6
15,FeI,4788.76,3.241,5.3
16,FeI,4798.27,4.187,2.1
17,FeI,6056.01,4.733,5.5
18,FeI,6065.49,2.609,35.6
19,FeI,6078.5,4.796,7.1
20,FeI,6079.02,4.652,1.6
21,FeI,6082.72,2.223,2.0
22,FeI,6096.67,3.984,2.0
23,FeI,6137.0,2.198,5.5
24,FeI,6151.62,2.176,2.8
25,FeI,6157.73,4.076,3.2
26,FeI,6165.36,4.143,3.0
27,FeI,6173.34,2.223,5.9
28,FeI,6188.0,3.944,1.8
29,FeI,6200.32,2.609,6.0
30,FeI,6213.44,2.223,10.6
31,FeI,6219.29,2.198,15.3
32,FeI,6232.65,3.654,6.9
33,FeI,6240.65,2.223,1.7
34,FeI,6246.33,3.603,20.8
35,FeI,6252.56,2.404,34.3
36,FeI,6265.14,2.176,11.6
37,FeI,6270.23,2.858,2.7
38,FeI,6280.62,0.859,4.2
39,FeI,6301.51,3.654,19.8
40,FeI,6311.5,2.832,2.1
41,FeI,6322.69,2.588,5.9
42,FeI,6335.34,2.198,18.7
43,FeI,6380.75,4.187,1.4
44,FeI,6393.61,2.433,40.5
45,FeI,6411.66,3.654,23.6
46,FeI,6421.36,2.279,25.8
47,FeI,6481.88,2.279,3.9
48,FeI,6518.37,2.832,1.9
49,FeI,6533.94,4.559,2.1
50,FeI,6593.88,2.433,10.9
51,FeI,6609.12,2.559,4.9
52,FeI,6633.76,4.559,5.3
53,FeI,6713.75,4.796,1.8
54,FeI,6725.36,4.104,1.7
55,FeI,6750.16,2.424,9.3
56,FeI,6820.37,4.639,1.6
57,FeI,6858.16,4.608,3.7
58,FeII,4416.82,2.779,19.5
59,FeII,4491.4,2.856,13.8
60,FeII,4541.52,2.856,11.4
61,FeII,4576.34,2.844,10.8
62,FeII,4582.83,2.844,5.5
63,FeII,4620.52,2.828,6.0
64,FeII,4656.98,2.891,3.7
65,FeII,4670.17,2.583,1.7
66,FeII,6084.1,3.2,1.3
67,FeII,6113.33,3.221,1.4
68,FeII,6149.25,3.889,3.0
69,FeII,6239.95,3.889,1.6
70,FeII,6247.56,3.892,6.0
71,FeII,6416.93,3.892,2.7
72,FeII,6432.68,2.891,2.5
73,FeII,6456.39,3.904,9.0
74,FeII,6516.08,2.891,5.3
