,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4132.06,1.608,95.0
1,FeI,4147.68,1.485,29.0
2,FeI,4174.92,0.915,21.0
3,FeI,4187.05,2.45,67.0
4,FeI,4187.81,2.426,71.0
5,FeI,4202.04,1.485,91.6
6,FeI,4216.19,0.0,46.0
7,FeI,4222.22,2.45,41.0
8,FeI,4233.61,2.482,55.0
9,FeI,4250.13,2.469,74.0
10,FeI,4415.13,1.608,104.0
11,FeI,4430.62,2.223,28.0
12,FeI,4442.35,2.198,44.0
13,FeI,4447.73,2.223,37.0
14,FeI,4461.66,0.087,47.0
15,FeI,4489.75,0.121,21.0
16,FeI,4494.57,2.198,51.0
17,FeI,4531.16,1.485,32.0
18,FeI,4602.95,1.485,31.0
19,FeI,5083.34,0.958,26.0
20,FeI,5166.28,0.0,18.0
21,FeI,5171.61,1.485,54.0
22,FeI,5194.95,1.557,38.0
23,FeI,5198.72,2.223,14.0
24,FeI,5216.28,1.608,32.0
25,FeI,5217.4,3.211,12.0
26,FeI,5307.37,1.608,9.0
27,FeI,5324.19,3.211,60.0
28,FeI,5393.18,3.241,28.4
29,FeI,5586.77,3.369,54.0
30,FeI,6065.49,2.609,24.8
31,FeI,6213.44,2.223,7.8
32,FeI,6219.29,2.198,8.2
33,FeI,6246.33,3.603,17.5
34,FeI,6252.56,2.404,24.5
35,FeI,6265.14,2.176,9.9
36,FeI,6301.51,3.654,12.9
37,FeI,6335.34,2.198,12.3
38,FeI,6393.61,2.433,27.3
39,FeI,6411.66,3.654,19.3
40,FeI,6421.36,2.279,17.9
41,FeII,4416.82,2.779,18.0
42,FeII,4491.4,2.856,11.0
43,FeII,4508.3,2.856,21.0
44,FeII,4541.52,2.856,10.0
45,FeII,4576.34,2.844,7.0
46,FeII,4582.83,2.844,7.0
47,FeII,5197.58,3.231,18.0
