,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4139.94,0.99,33.9
1,FeI,4174.92,0.915,73.3
2,FeI,4258.32,0.087,58.7
3,FeI,4337.05,1.557,101.4
4,FeI,4347.24,0.0,9.2
5,FeI,4439.89,2.279,16.1
6,FeI,4445.48,0.087,14.3
7,FeI,4447.73,2.223,102.6
8,FeI,4461.66,0.087,105.0
9,FeI,4471.68,0.11,5.6
10,FeI,4574.23,3.211,5.0
11,FeI,4602.01,1.608,28.7
12,FeI,5083.34,0.958,71.0
13,FeI,5198.72,2.223,56.0
14,FeI,5217.4,3.211,58.0
15,FeI,5307.37,1.608,45.0
16,FeI,5379.58,3.695,17.0
17,FeI,5393.18,3.241,73.7
18,FeI,5434.53,1.011,113.0
19,FeI,5650.0,5.086,7.6
20,FeI,5701.56,2.559,35.0
21,FeI,5717.84,4.285,12.0
22,FeI,5731.77,4.256,14.1
23,FeI,5752.04,4.549,10.8
24,FeI,5775.09,4.221,12.9
25,FeI,5793.92,4.221,9.3
26,FeI,5806.73,4.608,10.1
27,FeI,5859.6,4.549,22.4
28,FeI,5862.37,4.549,29.4
29,FeI,5905.68,4.652,12.1
30,FeI,5930.19,4.652,26.7
31,FeI,5934.67,3.929,18.0
32,FeI,5956.71,0.859,13.4
33,FeI,5976.79,3.944,13.8
34,FeI,5984.83,4.733,19.8
35,FeI,6003.02,3.882,25.4
36,FeI,6007.97,4.652,11.7
37,FeI,6008.57,3.884,24.3
38,FeI,6027.06,4.076,14.1
39,FeI,6056.01,4.733,18.2
40,FeI,6065.49,2.609,72.0
41,FeI,6078.5,4.796,20.0
42,FeI,6137.0,2.198,30.3
43,FeI,6151.62,2.176,15.7
44,FeI,6157.73,4.076,20.6
45,FeI,6165.36,4.143,9.9
46,FeI,6173.34,2.223,27.8
47,FeI,6188.0,3.944,8.5
48,FeI,6200.32,2.609,30.6
49,FeI,6213.44,2.223,46.9
50,FeI,6219.29,2.198,49.6
51,FeI,6232.65,3.654,37.0
52,FeI,6240.65,2.223,13.6
53,FeI,6246.33,3.603,60.7
54,FeI,6252.56,2.404,73.1
55,FeI,6265.14,2.176,45.1
56,FeI,6270.23,2.858,14.9
57,FeI,6297.8,2.223,31.9
58,FeI,6301.51,3.654,60.7
59,FeI,6315.81,4.076,9.7
60,FeI,6322.69,2.588,26.4
61,FeI,6335.34,2.198,56.6
62,FeI,6380.75,4.187,11.6
63,FeI,6411.66,3.654,66.3
64,FeI,6421.36,2.279,63.4
65,FeI,6481.88,2.279,19.4
66,FeI,6498.94,0.958,9.6
67,FeI,6518.37,2.832,15.6
68,FeI,6593.88,2.433,32.3
69,FeI,6609.12,2.559,17.2
70,FeI,6633.76,4.559,14.9
71,FeI,6750.16,2.424,28.0
72,FeI,6843.66,4.549,10.1
73,FeI,6858.16,4.608,10.5
74,FeII,4416.82,2.779,40.0
75,FeII,4541.52,2.856,19.9
76,FeII,4576.34,2.844,20.4
77,FeII,4582.83,2.844,13.8
78,FeII,4620.52,2.828,8.7
79,FeII,5197.58,3.231,33.0
80,FeII,5234.63,3.221,38.0
81,FeII,5264.81,3.339,12.0
82,FeII,5325.56,3.221,7.8
83,FeII,5534.85,3.245,11.0
84,FeII,6247.56,3.892,12.7
85,FeII,6416.93,3.892,6.8
86,FeII,6432.68,2.891,7.4
87,FeII,6456.39,3.904,18.7
88,FeII,6516.08,2.891,12.7
