,element,obs_wavelength,obs_ep,obs_ew
0,FeI,4139.94,0.99,33.2
1,FeI,4174.92,0.915,75.9
2,FeI,4187.81,2.426,123.6
3,FeI,4216.19,0.0,98.5
4,FeI,4347.24,0.0,5.5
5,FeI,4439.89,2.279,8.7
6,FeI,4445.48,0.087,6.5
7,FeI,4447.73,2.223,85.4
8,FeI,4494.57,2.198,93.0
9,FeI,4523.41,3.654,7.5
10,FeI,4531.16,1.485,78.7
11,FeI,4574.23,3.211,5.5
12,FeI,4602.01,1.608,31.5
13,FeI,5083.34,0.958,72.0
14,FeI,5198.72,2.223,55.0
15,FeI,5217.4,3.211,59.0
16,FeI,5307.37,1.608,46.0
17,FeI,5379.58,3.695,9.2
18,FeI,5398.29,4.446,28.6
19,FeI,5405.78,0.99,129.0
20,FeI,5701.56,2.559,34.0
21,FeI,5717.84,4.285,12.1
22,FeI,5731.77,4.256,10.0
23,FeI,5752.04,4.549,13.9
24,FeI,5775.09,4.221,16.6
25,FeI,5806.73,4.608,12.3
26,FeI,5852.23,4.549,6.9
27,FeI,5859.6,4.549,26.9
28,FeI,5862.37,4.549,32.8
29,FeI,5905.68,4.652,17.0
30,FeI,5927.8,4.652,6.0
31,FeI,5929.68,4.549,6.4
32,FeI,5930.19,4.652,31.4
33,FeI,5934.67,3.929,23.4
34,FeI,5956.71,0.859,13.9
35,FeI,5976.79,3.944,14.8
36,FeI,5984.83,4.733,25.5
37,FeI,6003.02,3.882,26.7
38,FeI,6007.97,4.652,14.2
39,FeI,6008.57,3.884,24.1
40,FeI,6027.06,4.076,17.2
41,FeI,6056.01,4.733,17.4
42,FeI,6065.49,2.609,70.0
43,FeI,6078.5,4.796,17.9
44,FeI,6082.72,2.223,7.3
45,FeI,6137.0,2.198,18.9
46,FeI,6151.62,2.176,10.4
47,FeI,6157.73,4.076,11.0
48,FeI,6173.34,2.223,20.6
49,FeI,6188.0,3.944,6.8
50,FeI,6200.32,2.609,18.4
51,FeI,6213.44,2.223,35.1
52,FeI,6219.29,2.198,44.4
53,FeI,6232.65,3.654,23.3
54,FeI,6240.65,2.223,8.3
55,FeI,6246.33,3.603,54.6
56,FeI,6265.14,2.176,41.3
57,FeI,6270.23,2.858,8.1
58,FeI,6297.8,2.223,30.1
59,FeI,6301.51,3.654,58.8
60,FeI,6315.81,4.076,6.6
61,FeI,6322.69,2.588,28.7
62,FeI,6335.34,2.198,59.6
63,FeI,6380.75,4.187,14.8
64,FeI,6411.66,3.654,72.5
65,FeI,6421.36,2.279,70.3
66,FeI,6481.88,2.279,20.4
67,FeI,6498.94,0.958,10.5
68,FeI,6518.37,2.832,19.7
69,FeI,6593.88,2.433,37.0
70,FeI,6609.12,2.559,17.9
71,FeI,6633.76,4.559,15.8
72,FeI,6750.16,2.424,30.5
73,FeI,6810.27,4.607,8.2
74,FeI,6843.66,4.549,10.8
75,FeI,6858.16,4.608,8.0
76,FeII,4178.86,2.583,65.2
77,FeII,4541.52,2.856,32.5
78,FeII,4576.34,2.844,37.0
79,FeII,4582.83,2.844,26.3
80,FeII,4620.52,2.828,20.8
81,FeII,4993.35,2.807,14.0
82,FeII,5197.58,3.231,52.0
83,FeII,5234.63,3.221,56.0
84,FeII,5264.81,3.339,18.0
85,FeII,5325.56,3.221,22.0
86,FeII,5414.08,3.221,8.0
87,FeII,5991.38,3.153,12.7
88,FeII,6149.25,3.889,11.6
89,FeII,6247.56,3.892,22.0
90,FeII,6416.93,3.892,13.3
91,FeII,6432.68,2.891,15.0
92,FeII,6456.39,3.904,37.0
93,FeII,6516.08,2.891,26.4
